post's uri,author's did,post's text,replyCount,repostCount,likeCount
at://did:plc:trvoiypu6cwxhunykcpsmaim/app.bsky.feed.post/3lfhxd735gs2b,did:plc:trvoiypu6cwxhunykcpsmaim,"THE DURAN

Will Trump Deliver Peace? - Jeffrey Sachs, Alexander Mercouris & Glenn Diesen.

www.youtube.com/watch?v=N9mU...

#DONALDTRUMP #DONALDJTRUMP #TRUMP #MAGA

#JEFFREYSACHS #GLENNDIESEN #GLENNDIESEN 

#NINEELEVEN #IRAQ #AFGHANISTAN #LIBYA #SYRIA #REGIMECHANGE

#VLADIMIRPUTIN #PUTIN",0,0,0
at://did:plc:mgagb3hr5hbveh5atp3b66dg/app.bsky.feed.post/3lfhx7smjuk2f,did:plc:mgagb3hr5hbveh5atp3b66dg,"Follow @nlall.bsky.social Thanks* On x @usatrumpall  Follow Trump *   #syria #trump #iran #war #biden #goverment #usa  #losangeles
www.youtube.com/watch?v=hikd...
(For you)  Manny More daily new videos scroll down ***click the playlist link.***",0,0,1
at://did:plc:we4hrdwurlbu7qj3wh3346ba/app.bsky.feed.post/3lfhx6ccjhe22,did:plc:we4hrdwurlbu7qj3wh3346ba,Lebanon to work with Syria to strengthen borders,0,0,0
at://did:plc:rmztrn2zcsuy6pqha5yqozbx/app.bsky.feed.post/3lfhx53ze5227,did:plc:rmztrn2zcsuy6pqha5yqozbx,"""Syria Kurdistan works""

Meanwhile there are kids in cages being tortured and the US military (and Isreal) is there.",0,0,0
at://did:plc:irxdqpoxqzotqwmfjj4u7pg6/app.bsky.feed.post/3lfhwxqfsd22g,did:plc:irxdqpoxqzotqwmfjj4u7pg6,"Syrian intelligence says it thwarted ISIL attempt to blow up Shia shrine

The Sayyida Zeinab shrine in Damascus has previously been targeted by ISIL and other armed groups in Syria. Syrian authorities have foiled an attempt by ISIL (ISIS) fighters to blow up a revered Shia shrine in a Damascus…",0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhwrojjs22y,did:plc:4hm6gb7dzobynqrpypif3dck,@straits_times: Lebanon to work with Syria to strengthen borders ,0,0,0
at://did:plc:t33i3y7gi7keg3tewmpnsjnf/app.bsky.feed.post/3lfhwrgyinc2v,did:plc:t33i3y7gi7keg3tewmpnsjnf,Tulsi Gabbard’s nomination hearing was postponed as she has failed to provide the initial questionnaire and the results of her FBI background check to the Senate. Tulsi now realizes that her connections with Syria and Russia might be a stumbling block to her confirmation. Another one bites the dust.,0,0,1
at://did:plc:wpe5wcj7y3hfv3huorblcage/app.bsky.feed.post/3lfhwopa7fs2x,did:plc:wpe5wcj7y3hfv3huorblcage,"“Interview from the frontlines on Syria with YPJ [General] Commander Nesrîn Abdullah""
(with English subtitles)",0,3,8
at://did:plc:lorfmazsc7mwloc7tr5i25ze/app.bsky.feed.post/3lfhwlkknjq25,did:plc:lorfmazsc7mwloc7tr5i25ze,Συρία: Δημόσια εκτέλεση δημάρχου που θεωρείτο πιστός στο προηγούμενο καθεστώς flight.com.gr/syria-...,0,0,0
at://did:plc:p2kjyrik34dg5g3wcvbtdzxq/app.bsky.feed.post/3lfhwkfipek2u,did:plc:p2kjyrik34dg5g3wcvbtdzxq,"As someone living in the Middle East, I've always wondered why some countries remain shitholes decade after decade. Syria, Libya, Iraq, Jordan, Egypt, to name a few.",0,0,0
at://did:plc:mgagb3hr5hbveh5atp3b66dg/app.bsky.feed.post/3lfhwgaqiyc2f,did:plc:mgagb3hr5hbveh5atp3b66dg,"Follow @nlall.bsky.social Thanks* On x @usatrumpall  Follow Trump *   #syria #trump #iran #war #biden #goverment #usa  #losangeles
www.youtube.com/watch?v=bQCw...
(For you)  Manny More daily new videos scroll down ***click the playlist link.***",0,0,1
at://did:plc:mgagb3hr5hbveh5atp3b66dg/app.bsky.feed.post/3lfhwduuqj22f,did:plc:mgagb3hr5hbveh5atp3b66dg,"Follow @nlall.bsky.social Thanks* On x @usatrumpall  Follow Trump *   #syria #trump #iran #war #biden #goverment #usa  #losangeles
www.youtube.com/watch?v=W08f...
(For you)  Manny More daily new videos scroll down ***click the playlist link.***",0,0,0
at://did:plc:xsxs5es2ocnwmprxnxevbeij/app.bsky.feed.post/3lfhwds2ooc2c,did:plc:xsxs5es2ocnwmprxnxevbeij,"Robert Ellis’s latest for TNI highlights:

“John Sawers, former head of MI6 and UK ambassador to the UN, believes Erdogan seems to view Syria through the distorting prism of the Kurdish question”

💯💯",0,0,0
at://did:plc:qjzllgwaxgung525e4hn34pq/app.bsky.feed.post/3lfhw2khuzs2e,did:plc:qjzllgwaxgung525e4hn34pq,"The proposed four-year period is a short period for those who understand the situation of Syria, which has been living under an unjust rule for 54 years! More than half of the population has been displaced, millions do not have identification papers,",1,0,0
at://did:plc:wi6tlc7shi57vsocdb4mbzou/app.bsky.feed.post/3lfhvs5hgdc2c,did:plc:wi6tlc7shi57vsocdb4mbzou,"#Gaza
#DrHussam

Irish Syria Solidarity support Irish Health Care Worker demands

📣
Stop killing
Doctors
Nurses
Patients
Paramedics
Children

The same cries we made for 14 yrs of Assad genocide in Syria

#StopAllGenocides
#FreeSyria
#SaveGaza
#NotATarget

The same struggle for Dignity & Freedom",1,2,2
at://did:plc:5kdurqmpdiybskhfhu2tqns7/app.bsky.feed.post/3lfhvprrehs2o,did:plc:5kdurqmpdiybskhfhu2tqns7,"There are strong indications that Erdogan has embarked on a course of bloody ethnic cleansing against the Kurds in northern Syria. If the international community, and the United States specifically, fails to intervene immediately, a window for effective action may close.",0,0,0
at://did:plc:g4opodc6w53lfkk5bz7j2w5r/app.bsky.feed.post/3lfhvm75s622l,did:plc:g4opodc6w53lfkk5bz7j2w5r,"At the end of the Six Days War in 67, Israel controlled Sinai, Gaza, the West Bank, and the Golan. In 1973, Syria invaded Israel and the next day Lebanon, Jordan, and Egypt joined. Israel won. 4/n",1,0,0
at://did:plc:ysk6qu7iafw5yc5cipelabk7/app.bsky.feed.post/3lfhvm2ute22s,did:plc:ysk6qu7iafw5yc5cipelabk7,"@reuters.com @hongkongfp.com @www.cgtn.com @xinhuanews.bsky.social @chinamediaproject.bsky.social @chinadigitaltimes.net @madeinchinajournal.com 
@cnn.com @vhpindia.bsky.social @hindustan-times.bsky.social
#India

HAHA HILARIO !🤣

Merica brought Democrazy 2:
Libya
Iraq
Afghanistan
Syria
&
Bangledes🐷",0,0,0
at://did:plc:wrm4rvukusjpz24bdo63ozkm/app.bsky.feed.post/3lfhvjzzcec2e,did:plc:wrm4rvukusjpz24bdo63ozkm,"The video circulating on social media about a girl changing her mind and creating a song for the new leader of Syria is not true,The girl who salutes the picture of Bashar al-Assad is called Suzan Azhari
The girl who sings her name is Lelas Salloum",2,1,3
at://did:plc:g4opodc6w53lfkk5bz7j2w5r/app.bsky.feed.post/3lfhvhy3qis2l,did:plc:g4opodc6w53lfkk5bz7j2w5r,"Israel had military intelligence that Egypt was preparing to invade (plus they were saying it openly on TV). Israel struck first and took out Egypt’s airforce. Lebanon, Syria, and Jordan invaded Israel the next day. Israel won. 3/n",1,0,0
at://did:plc:g4opodc6w53lfkk5bz7j2w5r/app.bsky.feed.post/3lfhvf6xrsk2l,did:plc:g4opodc6w53lfkk5bz7j2w5r,"After the war, Gaza was controlled by Egypt, the Golan by Syria, the West Bank by Jordan, and the rest by Israel. In 1956, Egypt blockaded the size canal. They agreed to demilitarize the Sinai when that resolved. In 1967, they broke the agreement. 2/n",1,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhvabxsmn2a,did:plc:4hm6gb7dzobynqrpypif3dck,"@AlArabiya_Eng: #Lebanon and #Syria will work together to secure their land borders, as well as to delineate both land and sea borders, Lebanon’s caretaker Prime Minister Najib Mikati says in Damascus.

",0,0,1
at://did:plc:aq3sf7imfkzkcqehbdmaqa47/app.bsky.feed.post/3lfhv5lsnpk2q,did:plc:aq3sf7imfkzkcqehbdmaqa47,A political tragedy in three acts.,0,0,0
at://did:plc:bzlyw6y52g5g33hpz4nnbt5x/app.bsky.feed.post/3lfhuxpjknr2y,did:plc:bzlyw6y52g5g33hpz4nnbt5x,"Syrian intelligence says foiled ISIL attempt to blow up Shia shrine | ISIL/ISIS news

The shrine of Sayyida Zeinab in Damascus has previously been targeted by ISIL and other armed groups in Syria. Syrian authorities foiled an attempt by ISIL (ISIS) fighters to blow up a revered Shiite shrine in a…",0,0,0
at://did:plc:doxhhgtxqiv47tmcovpbcqai/app.bsky.feed.post/3lfhuxpa74l2d,did:plc:doxhhgtxqiv47tmcovpbcqai,"Lebanon to work with Syria to strengthen borders By Reuters

By Tala Ramadan (Reuters) -Lebanon and Syria will work together to secure their land borders, as well as to delineate both land and sea borders, Lebanon's caretaker Prime Minister Najib Mikati said on Saturday in Damascus. In the first…",0,0,0
at://did:plc:poou3phxtmrc3tirioththdo/app.bsky.feed.post/3lfhuofl6fc2s,did:plc:poou3phxtmrc3tirioththdo,We had the Wirecard guy going to Syria with his GRU handler & firing guns...,1,0,1
at://did:plc:nxinrsapo5uhn4u2kbesfgr5/app.bsky.feed.post/3lfhuof2vv22l,did:plc:nxinrsapo5uhn4u2kbesfgr5,I thought things were good now in Syria.,0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhumjspvk2s,did:plc:4hm6gb7dzobynqrpypif3dck,"@TRTWorldNow: Lebanon and Syria will work together to secure their land borders and to delineate both land and sea borders, says Lebanese caretaker PM Mikati in Damascus https://t.co/Jr1TIlqcBM",0,0,0
at://did:plc:zv6g7qlik4dzbkmpwafk2lpo/app.bsky.feed.post/3lfhulduerk23,did:plc:zv6g7qlik4dzbkmpwafk2lpo,Human rights are unworthy ? Yes. Send back everyone to Syria or let them stay in inhumane refugee locations. ✅ all of them,0,0,0
at://did:plc:uznreszbedqypexixzbzwcpp/app.bsky.feed.post/3lfhuhjjodu27,did:plc:uznreszbedqypexixzbzwcpp,"#Turkey #quake M3.1 | Turkey-Syria Border Region | 6m ago | Jan 11, 2025 04:52 pm (Istanbul time)
Did you feel it? Submit a report!
#weak #M2+ #M3+ #Turkey #Hatay",0,0,0
at://did:plc:hmgbggxs7iy4vcn7hgyjyjsa/app.bsky.feed.post/3lfhuhh62q523,did:plc:hmgbggxs7iy4vcn7hgyjyjsa,"🌍 Earthquake Alert 🌍
📍 Location: TURKEY-SYRIA BORDER REGION
📏 Magnitude (ml): 3.1
🔽 Depth: 5.00 km
⏰ Time: 2025-01-11 13:52:53 UTC
🔗 Source: EMSC
Stay safe!",0,0,0
at://did:plc:x22t7juq2vdt5caqm73qv6pc/app.bsky.feed.post/3lfhuhhky562p,did:plc:x22t7juq2vdt5caqm73qv6pc,"#Mediterranean #quake M3.1 | Turkey-Syria Border Region | 5m ago | Jan 11, 2025 04:52 pm (Istanbul time)
Did you feel it? Submit a report!
#weak #M2+ #M3+ #Turkey #Hatay",0,0,0
at://did:plc:amkur43rdksyzpsldnxb2twp/app.bsky.feed.post/3lfhugowgz22n,did:plc:amkur43rdksyzpsldnxb2twp,"🇸🇾 Les nouvelles autorités syriennes annoncent avoir déjoué un attentat du groupe terroriste Etat islamique  www.election-politique.com/index.php?di...

#VuDansLaPresse #newspaper #politique #politics #international #Syrie #Syria #ISIS #EI",0,0,0
at://did:plc:c2tavuhs56rsnpk3we755neq/app.bsky.feed.post/3lfhufadkys2r,did:plc:c2tavuhs56rsnpk3we755neq,"Given that Italy was a part of this, and that they seemed eager to send their refugees back to Assad's torture dungeons just a few months ago, a reminder: the peace in Syria is fragile.

A fair benchmark: the refugees will be safe to go back the day Europe-based Assadists can safely be extradited.",0,0,0
at://did:plc:gujbr66j4dtgq3hrks5waejh/app.bsky.feed.post/3lfhufqkmes2e,did:plc:gujbr66j4dtgq3hrks5waejh,"Production is still not very large, with many powers still preparing gearups and the Allies deep in debt. There's a focus on diplomatic actions as well. The US send Stillwell to China to bolster their defense. France mobilizes in Syria. The Germans are stockpiling for a major prepared offensive...",1,0,1
at://did:plc:ufhrbtqli4k6uo7fmv3ib56w/app.bsky.feed.post/3lfhuejob262a,did:plc:ufhrbtqli4k6uo7fmv3ib56w,Lebanon to work with Syria to strengthen borders - https://www.thestar.com.my/news/world/2025/01/11/lebanon-to-work-with-syria-to-strengthen-borders,0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhuatswi52d,did:plc:4hm6gb7dzobynqrpypif3dck,"@Jerusalem_Post: Lebanon and Syria will work together to secure their land borders, as well as to delineate both land and sea borders, Lebanon's caretaker Prime Minister Najib Mikati said.
",0,0,0
at://did:plc:5p2w2yql5sovot63pdsyd5dc/app.bsky.feed.post/3lfhu76mczk2f,did:plc:5p2w2yql5sovot63pdsyd5dc,Chilly - but not as chilly as feared - morning meeting residents off Gors Avenue with Cllr Rob Stewart & @swanseawestclp.bsky.social. If variety is the spice of life the discussions were… spicy. Covered everything from fly tipping to the future of Syria. Thanks to everyone who made the time to talk,0,2,32
at://did:plc:mmuioxfplo5gfhe7sj3ktjtl/app.bsky.feed.post/3lfhu66izy22v,did:plc:mmuioxfplo5gfhe7sj3ktjtl,"They call elected leaders of countries in imperialism’s crosshairs “dictators” or “autocrats”, but the head-chopping terrorist who took over Syria is politely just called “leader” by the NYT.",0,0,1
at://did:plc:5zww7zorx2ajw7hqrhuix3ba/app.bsky.feed.post/3lfhu4mb67l2i,did:plc:5zww7zorx2ajw7hqrhuix3ba,"Italy FM says new Syria leader pledged to stop ‘illegal immigration’

https://www.byteseu.com/642395/

Syria’s new leader Ahmed al-Sharaa told visiting Italian Foreign Minister Antonio Tajani on Friday that he was ready to stem “illegal immigration” to Europe, the European diplomat said. “Sharaa …",0,0,0
at://did:plc:vzx3pr4klx7i3bg2pt2sngif/app.bsky.feed.post/3lfhtyfrzn22r,did:plc:vzx3pr4klx7i3bg2pt2sngif,"Ukraine Steps Up Support For Middle East, As Russia Is Booted Out of Syria
Ukraine extends humanitarian aid to Syria, forging new diplomatic ties as decades of Russian-backed oppression come to an end.

united24media.com/world/ukrain...",0,3,5
at://did:plc:2ek66gyxakfltz6w3sk5o6xt/app.bsky.feed.post/3lfhtxsr4bs2q,did:plc:2ek66gyxakfltz6w3sk5o6xt,"3-Syria, backed by Qatar and Turkey, could surprise everyone by stitching together a functional government—expect think tanks to label it “The HTS Model” by year-end.",1,0,0
at://did:plc:meacjnqkl3dv2kcba3ybg7fc/app.bsky.feed.post/3lfhtr4gtgs2t,did:plc:meacjnqkl3dv2kcba3ybg7fc,"Syrian authorities foiled an attempted attack by the so-called ""Islamic State"" (IS) group on a Shiite Muslim shrine in a southern suburb of Damascus, state news agency SANA reported on Saturday (January 11).
www.dw.com/en/syria-aut...",0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhtqouo2223,did:plc:4hm6gb7dzobynqrpypif3dck,@straits_times: Lebanon to work with Syria to strengthen borders ,0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhtqohwut2l,did:plc:4hm6gb7dzobynqrpypif3dck,"@AFP: Lebanese Prime Minister Najib Mikati arrived in Damascus Saturday in the first such visit since before civil war broke out in Syria in 2011, an AFP journalist reported. He is expected to hold talks with Syria's new leader Ahmed al-Sharaa.
Full story:  https://t.co/4sxSWC",0,0,0
at://did:plc:djznhtuxa6mqmne7s3bpgj3i/app.bsky.feed.post/3lfhtfreu2c2c,did:plc:djznhtuxa6mqmne7s3bpgj3i,"Yes, until colonizers raped the Jews in our homeland, forcibly destroyed our homes, and renamed the region ""Syria Palaestina."" Yet even that did not drive us all out, as much as they wanted to ethnically cleanse the Jews from the land.",1,0,1
at://did:plc:qcup5cxhkeqob5rdeinht3to/app.bsky.feed.post/3lfhtek6xzk26,did:plc:qcup5cxhkeqob5rdeinht3to,"Noted my friend, and you should notice the changes there since Assad was ousted last December. Syria is finally free but at a cost - but things are slowly going back to the way they were before the Assads ruined the country.",1,0,1
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhtajhnv32l,did:plc:4hm6gb7dzobynqrpypif3dck,@Reuters: Lebanon says it will work with Syria to strengthen borders  https://t.co/NVXQyuoksz,0,0,0
at://did:plc:gxufqpou5urr4uwil7r7tchq/app.bsky.feed.post/3lfht6vy6w22b,did:plc:gxufqpou5urr4uwil7r7tchq,"[gaza ghouls - It's guaranteed they know nothing of (and did nothing for) Syria, Uyghurs, or Rohingya.]

You forget Oct 7
you fucks have already got around to blaming the jews.",0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfht5tu4rs23,did:plc:4hm6gb7dzobynqrpypif3dck,"@IrnaEnglish: Syria thwarts ISIS attempt to bomb Sayyida Zainab Shrine: Source
 https://t.co/IYuPeXNdvf",0,0,0
at://did:plc:enfdwgud7ocusw3lqia2oz24/app.bsky.feed.post/3lfht52vsq22u,did:plc:enfdwgud7ocusw3lqia2oz24,"📅 January dates to 👀 - UPDATE 1

✅ 6 Four years after J6
✅ 7 Damascus Airport opens
✅ 9 Ramstein meeting
✅ 9 Jimmy Carter funeral
✅ 10 Trump Hush money sentence
19 TikTok ban in USA?
20 Trump inauguration
21 Trump first day as dictator?
26 Belarus elections

#NAFO #Ukraine #USA #Politics #Syria",0,0,1
at://did:plc:irxdqpoxqzotqwmfjj4u7pg6/app.bsky.feed.post/3lfht2po4xm2y,did:plc:irxdqpoxqzotqwmfjj4u7pg6,"Lawyers urge ICC to call for Assad arrest over Syria war crimes

Turkish human rights lawyers advocating for Syrian victims have urged the International Criminal Court (ICC) to ""urgently"" issue arrest warrants for Bashar al-Assad and 17 senior officials (Photo by Elif Ozturk/Anadolu Agency/Getty…",0,0,0
at://did:plc:47pef25n27xbumca5fdliojm/app.bsky.feed.post/3lfhszaoyak2c,did:plc:47pef25n27xbumca5fdliojm,#PETA #TruthSocial #Denmark #USA #England #Ireland #Italy #Africa #Syria  #Malaysia #Greenland #Netherlands #Thailand #Polen #Hungary #Belgium #France #Luxemburg #Turkey #Mexico #Brazil #Japan #Argentina #Korea #Colombia #Australia Holocaust attacks. How is it in your country?,0,0,0
at://did:plc:s23lefg7fsgo2shrjgj36zuo/app.bsky.feed.post/3lfhszal47s2c,did:plc:s23lefg7fsgo2shrjgj36zuo,"you yankees do not deserve it. You are just firestarters of every kind, specially in Palestina, Syria, Afghanistan, Iraq, ... You do not deserve any help.",0,0,0
at://did:plc:qcup5cxhkeqob5rdeinht3to/app.bsky.feed.post/3lfhsxzn73c2w,did:plc:qcup5cxhkeqob5rdeinht3to,"Israel??!! It would be Palestinian pro-Russia proxies led by Hamas and Hezbollah and now with Houthis, joined by Qatar and the UAE. However, Syria, having overthrown its former pro-Russia government, is slowly returning to the West.
Same for Lebanon under its new Christian president who's",2,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhsxkrcfr2e,did:plc:4hm6gb7dzobynqrpypif3dck,"@MiddleEastEye: The committee was particularly unnerved by Turkey’s influence in Syria, claiming that Ankara could use the new Syrian government as a proxy force “to restore the Ottoman Crown to its former glory”

✍️Opinion by Ragip Soylu
",0,0,0
at://did:plc:oidyjkfp2z7236su64k5byaj/app.bsky.feed.post/3lfhstycya22h,did:plc:oidyjkfp2z7236su64k5byaj,"Yediot Achronot says Israel need to maintain a 15 km “operational perimeter” within Syria to prevent missiles from hitting Golan Heights and 60 km “sphere of influence,” under Israeli intelligence control, to monitor and prevent potential threats from developing. www.ynetnews.com/article/b1fr...",0,0,0
at://did:plc:47pef25n27xbumca5fdliojm/app.bsky.feed.post/3lfhsskfpms2c,did:plc:47pef25n27xbumca5fdliojm,"#PETA #TruthSocial #Denmark #USA #England #Ireland #Italy #Africa #Syria  #Malaysia #Greenland #Netherlands #Thailand #Polen #Hungary #Belgium #France #Luxemburg #Turkey #Mexico #Brazil #Japan #Argentina #Korea #Colombia #Australia

youtube.com/shorts/UvqvK...",1,0,0
at://did:plc:jertqaeelhhvcfzsyusx3l3w/app.bsky.feed.post/3lfhspiugrc2z,did:plc:jertqaeelhhvcfzsyusx3l3w,Enpowermemt and capacity building of kurds will continue in Syria and Iraq,0,0,0
at://did:plc:fdj4xt7zmv357abfh6aktfyx/app.bsky.feed.post/3lfhspcibks2h,did:plc:fdj4xt7zmv357abfh6aktfyx,"🇱🇧🇸🇾 #Syria - Lebanese Prime Minister Najib #Mikati met with Al-Jolani, head of the new Syrian administration led by #HTS.",0,0,0
at://did:plc:gcivrywdxzq33pt6trdudslu/app.bsky.feed.post/3lfhsnbhqks2p,did:plc:gcivrywdxzq33pt6trdudslu,"An Islamist parade in Jeblah, Latakia province. This is the “new Syria”. ",0,1,4
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhslupqce2a,did:plc:4hm6gb7dzobynqrpypif3dck,@straits_times: Lebanon says will work with Syria to strengthen borders ,0,0,0
at://did:plc:jertqaeelhhvcfzsyusx3l3w/app.bsky.feed.post/3lfhsku4x2k2r,did:plc:jertqaeelhhvcfzsyusx3l3w,"Kurds will establish their own autonomous republic in Syria, just like in Iraq and they will be aligned to Germany.",0,0,0
at://did:plc:5lpljxnxu774mldlf5br7dzi/app.bsky.feed.post/3lfhsi6dz622y,did:plc:5lpljxnxu774mldlf5br7dzi,"Just a reminder Canada has no problem sending RCMP (now CSIS) officers to the notorious torture prisons in Syria. Part of torturing innocent Canadians in Syria ( and Guantanamo Bay where they participated in torturing a Canadian teenager) 
Can’t claim ignorance now. 

www.cbc.ca/news/canada/...",0,0,0
at://did:plc:z5unxm2brmrelsh2dd5lgchn/app.bsky.feed.post/3lfhsgwkgbs2o,did:plc:z5unxm2brmrelsh2dd5lgchn,"Israeli occupation forces have seized valuable water resources, including the Al-Wahda Dam in the Yarmouk River Basin, as part of Israel's recent expansion in Syria.

According to reports last month from Syrian and Israeli sources, Tel Aviv currently controls 40% of both Syrian and Jordanian water.",0,2,0
at://did:plc:tqot7luzb7u5qgn6zphplzxc/app.bsky.feed.post/3lfhsctjvpz2q,did:plc:tqot7luzb7u5qgn6zphplzxc,"The U.S. needs to keep troops deployed in Syria to prevent the Islamic State group from reconstituting as a major threat following the ouster of Bashar Assad’s government, according to Defense Secretary Lloyd Austin",0,0,0
at://did:plc:qrdldevqx53wju7zstsln4fp/app.bsky.feed.post/3lfhs2pkgik2i,did:plc:qrdldevqx53wju7zstsln4fp,"What have they done for workers in the rest of Syria? That's the difference between carving out an enclave and revolution, which will require a proletarian state.",1,0,1
