post's uri,author's did,post's text,replyCount,repostCount,likeCount
at://did:plc:ycu6i4zluqmbpmgksb3caloj/app.bsky.feed.post/3lga4eodrrs23,did:plc:ycu6i4zluqmbpmgksb3caloj,Don’t forget to reach out to your Jill Stein voters and smack them. They’re just as complicit,0,1,3
at://did:plc:lzbrosdawb466glbq5oop5qd/app.bsky.feed.post/3lga453sjgk2e,did:plc:lzbrosdawb466glbq5oop5qd,"I know this sounds selfish and it kind of is, but guess what? If all of the non-voters and Jill Stein pussy lickers wanted to get on their fucking soap box and are responsible for getting us here, my amount of fucks to give are frankly at ZERO",0,0,5
at://did:plc:uis43kjybqfmbzzjcgwiv3ym/app.bsky.feed.post/3lga3pwyv2227,did:plc:uis43kjybqfmbzzjcgwiv3ym,"Why isn’t she louder? And what about Jill stein? George Clooney? Rob Reiner? Stephen king? Oh wait, because their lives will be fine.",0,0,4
at://did:plc:ih7oxhbw6aquizokmbjd4rbw/app.bsky.feed.post/3lga3a7o6y22d,did:plc:ih7oxhbw6aquizokmbjd4rbw,Hey Jill Stein voters and the #Uncommitted of Michigan... Look what you did! Aren't you proud of having your people in Gaza put more at risk than when Kamala and Biden were in office? #Idiots!,0,2,2
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,did:plc:tyaenxzmiwn7ls3p6zfec5ah,"To Jill Stein and her supporters: Thanks for helping Trump accelerate the destruction of the Earth. You got what you wanted.

You're not a tree hugger; 

You're a Trump hugger!

#NotMyPresident",8,13,107
at://did:plc:oywelfzuhsji2xliuznkpq6z/app.bsky.feed.post/3lga2l4qxnk2k,did:plc:oywelfzuhsji2xliuznkpq6z,"we're all real thankful that leftists once again saved gaza by voting ""resist"" or jill stein. everybody clap, we've got heroes over here.",3,0,2
at://did:plc:s3l66lmibu7ufkjztrwasqkg/app.bsky.feed.post/3lga2htjcys2x,did:plc:s3l66lmibu7ufkjztrwasqkg,"If you have not heard the name Jill Stein in 6 years, then you have not been paying attention. Unfortunately.",0,0,0
at://did:plc:mkhxdgnaacdw2lwcydtebakl/app.bsky.feed.post/3lga2d2kqzk2i,did:plc:mkhxdgnaacdw2lwcydtebakl,So absolutely pathetic anyone who sat out or voted for Jill Stein see what you have done if you thought it was bad before he’s letting Netanyahu do anything and everything he wants.  Way to win on that when we could have moved a centrist to the left still with pressure. I blame y’all and centrists,0,0,0
at://did:plc:myq7dvonxhde4s6fqrjvq6sa/app.bsky.feed.post/3lga2ahf64s27,did:plc:myq7dvonxhde4s6fqrjvq6sa,"Where’s Jill Stein now? Oh, that’s right, she crawled back in her fucking hole and will reemerge in 4 years to pretend like she’s running for president and yet again, she’ll dupe just enough of the population to siphon off votes from the Dem candidate.",1,1,16
at://did:plc:4emub3qbwpuvurexcghcd3v3/app.bsky.feed.post/3lg7zqzlsl22u,did:plc:4emub3qbwpuvurexcghcd3v3,nobody more brain dead than a Jill Stein supporter. not even a MAGA cultist.,0,0,0
at://did:plc:2ms545jvt3zkpcdudyaicxgw/app.bsky.feed.post/3lg7znbpwjk2y,did:plc:2ms545jvt3zkpcdudyaicxgw,Yes and where is Jill Stein  and Cornell West? What? Nothing to say? Did you both just slink back into your holes? You both also bear some responsibility for this fuck up 🤬,0,1,15
at://did:plc:7elzfw2v7quyjd2bg4vdowuo/app.bsky.feed.post/3lg7zmxmjvc2c,did:plc:7elzfw2v7quyjd2bg4vdowuo,"Listen, Jill Stein is a Russian stooge who f’ing sucks, but she’s not some mind bender who hypnotized people. Every last person in this country knows damn well who Trump is and what he’s capable of.
And they voted accordingly.",0,0,2
at://did:plc:ylhoechca7mj7opcbrdk7bt7/app.bsky.feed.post/3lg7z4jizks2o,did:plc:ylhoechca7mj7opcbrdk7bt7,"Glad to see Jill Stein keeping a higher profile after the usual election cycle. Maybe things are changing...for the better?

😄",0,0,0
at://did:plc:epd72ls25iootmxzd44ssxdl/app.bsky.feed.post/3lg7yzx72hc2u,did:plc:epd72ls25iootmxzd44ssxdl,"Im not a jill stein suppoeter, but im happy people voted for her",1,0,1
at://did:plc:pfa4prlytdiinlformhbmcty/app.bsky.feed.post/3lg7yxzenuc2b,did:plc:pfa4prlytdiinlformhbmcty,"The lion’s share of the Muslim vote went to Jill Stein, the Green Party candidate who advocated for ending U.S. military support for Israel, or Trump, who received the backing of several Arab and Muslim community leaders...",1,0,2
at://did:plc:u2oa2zmdkvdueucarb55rybt/app.bsky.feed.post/3lg7ywt2gm222,did:plc:u2oa2zmdkvdueucarb55rybt,"I’m an Arab American… and I can tell you from experience so many of these assclowns voted Jill Stein because in their weird logic… “genocide Joe” was somehow worse than Trump. 

Well, when hotels are in Gaza and Israel settles it you won’t see a single tear from me. FAFO",9,6,117
at://did:plc:hb57o2ysrhtde5k3j7xci6jd/app.bsky.feed.post/3lg7ypktfn22y,did:plc:hb57o2ysrhtde5k3j7xci6jd,"No, you stfu. You chose this and voted for this. Y’all went around parading about how they were doing nothing. Yall went around parading with Jill stein and her bullshit. You and your protestors did this. And you will never ever be forgiving for it. Rot in hell.",0,0,1
at://did:plc:n7e56a7boikyr5n2erjsucy7/app.bsky.feed.post/3lg7yedxr322q,did:plc:n7e56a7boikyr5n2erjsucy7,"Blaming democrats bc a bunch of eligible voters voted third party or didn’t vote at all is ludicrous. Place the blame where it is due: the Arab Muslims bc of Rashida Tlaib and others asked them to vote for Jill Stein or not vote at all, or the Latino men and women voted Trump bc of grocery prices.",0,2,3
at://did:plc:3as3hzor67txmgh3i5vduvic/app.bsky.feed.post/3lg7y5yd6sc2o,did:plc:3as3hzor67txmgh3i5vduvic,Speaking of Stein…. Where the fuck is Jill Stein; is she already in her 4 year hibernation?,0,0,0
at://did:plc:bqehkbxoy4wkit55teiqoc2e/app.bsky.feed.post/3lg7xwmkad224,did:plc:bqehkbxoy4wkit55teiqoc2e,Where are the abandoned Harris Twats and Jill Stein!!,0,0,0
at://did:plc:2fsy55qurgl3bieyrkzzlzrs/app.bsky.feed.post/3lg7xnfcozs2i,did:plc:2fsy55qurgl3bieyrkzzlzrs,"…… I STG, I cannot stand the level Of willful stupidity we are going to endure. I hope the price of eggs for MAGAts and the Moral superiority of online fauxleftists and Jill stein stans keeps them warmer then the flames of burning books and broken liberties.",1,0,0
at://did:plc:tyd4urf3gahkche6khbuocgv/app.bsky.feed.post/3lg7xnbnkyc2e,did:plc:tyd4urf3gahkche6khbuocgv,How about those who didn't even bother to vote. This is on them and those who thought a vote for Jill Stein was a good idea.,0,1,3
at://did:plc:pxtnuuof3svavnejy47oiixm/app.bsky.feed.post/3lg7xkhxbes27,did:plc:pxtnuuof3svavnejy47oiixm,"Well, the Palestinians, who voted for Jill Stein need to call her office for help. Let’s just see how that all works out for them. In other words, they screwed themselves. Trump will reward them by deporting them back to their country.",1,0,21
at://did:plc:vh5j73ykqzlwc6xatggmamae/app.bsky.feed.post/3lg7xega2es2v,did:plc:vh5j73ykqzlwc6xatggmamae,"If you say, ""Not my fault, I didn't vote for Trump,"" when you mean you didn't vote, or voted for Jill Stein, or your cat, I don't want to know you.",1,0,9
at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7xd7gqp22v,did:plc:4fwllxpemqy247mpwoual2px,"I don't understand what point you're trying to make to me here. Bipartisanship with arsonists isn't ""the right thing"", nor is it a good thing. You seem to be talking to me under the assumption that I'm some Jill Stein leftist.",1,0,0
at://did:plc:oywelfzuhsji2xliuznkpq6z/app.bsky.feed.post/3lg7wxm4gd222,did:plc:oywelfzuhsji2xliuznkpq6z,"just another fine result thanks to the ""resist"" and ""vote jill stein"" crowd. watching them try and weasel their way out of the proper blame that they deserve for allowing this man to become president would be hilarious if it wasn't so upsetting to the millions of trans/immigrant/women it'll hurt.",0,0,0
at://did:plc:qnht6ovrrrmm55a5nwbcnrws/app.bsky.feed.post/3lg7wvuhj2s2h,did:plc:qnht6ovrrrmm55a5nwbcnrws,"So I was correct, you’re insulated. Did you not consider the consequences of your actions? Make sure to let me know how the Cornel West and Jill Stein 2028 campaigns are doing.",1,0,0
at://did:plc:lxwkxxy3nkwjqynfuxnzaehj/app.bsky.feed.post/3lg7wupwls226,did:plc:lxwkxxy3nkwjqynfuxnzaehj,"All the racist white democrats who either
1. Stayed home
2. Voted for Trump
3. Voted for Jill Stein

You did this.
Elections have consequences 

Now, the criminals who desecrated the halls, rubbed feces on the walls and killed cops get to walk free.",2,6,21
at://did:plc:4fwllxpemqy247mpwoual2px/app.bsky.feed.post/3lg7wsyrfhk2v,did:plc:4fwllxpemqy247mpwoual2px,"You know it's not all the left's fault. Yes, I agree they should have voted Dem instead of vainglorious camera-chasers like Jill Stein. However there's plenty of blame to be levelled at the Democrats themselves.",2,0,1
at://did:plc:ffqrmizoc5z6ly4vf3mhgwta/app.bsky.feed.post/3lg7wquqhe22c,did:plc:ffqrmizoc5z6ly4vf3mhgwta,"Unironically though, I got really psyched when I was in Dallas and saw a pro-Palestine protest outside the grassy knoll. 

I uhh then got pissed at seeing the one person wearing tons of Jill Stein merchandise.

And then just pretended they weren’t there and went back to being happy about the protest",0,0,2
at://did:plc:ffqrmizoc5z6ly4vf3mhgwta/app.bsky.feed.post/3lg7wh4jjfc2c,did:plc:ffqrmizoc5z6ly4vf3mhgwta,"and Zionism isn’t an adequate answer for why supposed anti-Zionists are antisemitic.

*cough* Jill stein supporters *cough*

I’m anti-Zionist, and I’ve said it many times before. But there’s not been a group more reliably rabidly antisemitic in anti-Zionist circles than loud Jill Stein supporters",1,0,6
at://did:plc:h2vyyyyujv4ed5pch4yhxcu6/app.bsky.feed.post/3lg7w7ayh3c2k,did:plc:h2vyyyyujv4ed5pch4yhxcu6,"I’m going to blame the twenty million who didn’t vote and I hope the Jill Stein voters are happy now, drill baby drill is back.",0,0,0
at://did:plc:7qbd6akz5yb5oapz63fmqbcq/app.bsky.feed.post/3lg7w6zl5dc2z,did:plc:7qbd6akz5yb5oapz63fmqbcq,Jill Stein never gave a shit about Palestine.,1,0,0
at://did:plc:ookan45ts53yro2tl6utwuwm/app.bsky.feed.post/3lg7vpz2ars23,did:plc:ookan45ts53yro2tl6utwuwm,Where’s Jill Stein?,0,0,0
at://did:plc:g2c2kd57bnfkmnpyuqyqruq7/app.bsky.feed.post/3lg7vn43hgc2q,did:plc:g2c2kd57bnfkmnpyuqyqruq7,Oh yes. There is a special place in hell for Jill Fucking Stein.,0,0,0
at://did:plc:b7j5wngx5smhe6razzlkryvd/app.bsky.feed.post/3lg7vcm43i225,did:plc:b7j5wngx5smhe6razzlkryvd,Hey does anybody know where Jill Stein is off to for the next 4 years?,0,0,2
at://did:plc:u5vx3lhphflht2p2idng2b7a/app.bsky.feed.post/3lg7v7ifa2k2m,did:plc:u5vx3lhphflht2p2idng2b7a,Say hi to Bernie Sanders and Jill Stein for me.,0,0,0
at://did:plc:kvuaqglv7jzo6fqlhiikygee/app.bsky.feed.post/3lg7v665uvc2w,did:plc:kvuaqglv7jzo6fqlhiikygee,Those pro Hamas/anti Israel supporters who voted for Trump or Jill Stein miscalculated badly.  And now all of us are paying the price.   Nice going you guys.,0,0,10
at://did:plc:pk7oaqnozbaifv5rmjlsjipl/app.bsky.feed.post/3lg7v5zwgvs24,did:plc:pk7oaqnozbaifv5rmjlsjipl,"This should be no surprise to anyone 

Trump is a neo Nazi , followed by Neo Nazis , with a neo Nazi fascist agenda. 

We’ve known for months and SCREAMED from rooftops this is why we must elect Harris!!

Too many did NOT vote , didn’t care or worse , wasted their vote stupidly on Jill stein",0,0,5
at://did:plc:ptfcuu255sgq4cih7koiujfg/app.bsky.feed.post/3lg7uzclp522q,did:plc:ptfcuu255sgq4cih7koiujfg,"You see, I was there, and I'm not a straight white Midwesterner dudebro.

Bernie refused to concede long after other candidates did because his job was to siphon off voters to the Green party and Jill Stein.

As planned by Putin.

www.washingtonpost.com/national-sec...",0,0,0
at://did:plc:333bdrq5nt5kznf4foxyw4qb/app.bsky.feed.post/3lg7uvpmnnc23,did:plc:333bdrq5nt5kznf4foxyw4qb,Tell me again about Genocide Joe? Tell me again about that lady who was gonna save them… what’s her name? Jill Stein?,0,0,3
at://did:plc:sgbegau2i7pjbipzpmrsk772/app.bsky.feed.post/3lg7ukfpxmc2u,did:plc:sgbegau2i7pjbipzpmrsk772,Anyone seen or heard from Jill Stein or Cornell West or are they out there fucking up other timelines in the multiverse with (checks notes) cheap eggs & the free Palestine absolutists.,0,0,2
at://did:plc:hyogcwivc5r3leatz44cueyf/app.bsky.feed.post/3lg7udm4ikk27,did:plc:hyogcwivc5r3leatz44cueyf,Special call out to everyone who voted for Jill Stein. You can add on the number of children who will die due to climate change and the US withdrawal from the WHO. But apparently your consciences are clear.,0,0,1
at://did:plc:dzadnpr36ut2feplfnctmzxf/app.bsky.feed.post/3lg7u32hunc2d,did:plc:dzadnpr36ut2feplfnctmzxf,"“…or protest voted for Jill Stein…”  Plus, voter turnout has hovered between 55% and 70% since the 60s, so that percentage of voters that stayed home is nothing new. There’s no use pointing fingers at people that didn’t affirmatively put him in office.",1,0,0
at://did:plc:j5remt4mcqnlsswop7oqttkp/app.bsky.feed.post/3lg7tlreyjc2g,did:plc:j5remt4mcqnlsswop7oqttkp,This is also for Rep. Rashida Tlaib who advocated ‘Do not vote Harris’. She was your chance to still have a Gaza. Kushner wants to turn it into a seaside resort. Good going. Did you think ‘do not vote Harris’ means ‘Jill Stein’? 🙄,0,2,6
at://did:plc:oqldnktgovfhnbdqrcjgnpfp/app.bsky.feed.post/3lg7tiegrwc2h,did:plc:oqldnktgovfhnbdqrcjgnpfp,Catch that L Jill Stein voters…lol,0,1,1
at://did:plc:el5gtxajnqhr7q7ffbq52s5t/app.bsky.feed.post/3lg7thtdgcc2z,did:plc:el5gtxajnqhr7q7ffbq52s5t,Jill Stein been real quiet for a while now. Oh Ight,0,0,4
at://did:plc:xpbgjg3nikgmh2whlcz2bncb/app.bsky.feed.post/3lg7swl47rs2j,did:plc:xpbgjg3nikgmh2whlcz2bncb,Those protest votes for Jill Stein felt so good in the moment tho,1,0,2
at://did:plc:nyjczecuu5bntqrzao2e2z3o/app.bsky.feed.post/3lg7sh3x7qk2c,did:plc:nyjczecuu5bntqrzao2e2z3o,To all the LGBTQ+ people who were handwringing about Gaza and didnt show up to vote or protest voted for Jill Stein… www.whitehouse.gov/presidential...,2,0,2
at://did:plc:4hdi2y627oo32fdb3lfc6ma6/app.bsky.feed.post/3lg7s7idmr22f,did:plc:4hdi2y627oo32fdb3lfc6ma6,"Is now the appropriate time to thank The Green Party & Jill Stein for this devastating EO?  Oh, & everyone who did not vote or could not bring themselves to vote for a less than 100% perfect candidate in their opinion.",0,0,0
at://did:plc:bb7oiac52hghlub3c7fr6iwh/app.bsky.feed.post/3lg7s3debuc2a,did:plc:bb7oiac52hghlub3c7fr6iwh,"So where are the pro Palestine, Abandon Harris, or Vote for Jill Stein crowd at?  🤔🤔🤔",0,0,3
at://did:plc:lstuo3vel7bxbi6jgge32xcn/app.bsky.feed.post/3lg7rxb2df22b,did:plc:lstuo3vel7bxbi6jgge32xcn,Jill Stein is a Russian agent. No one will convince me otherwise.,0,0,0
at://did:plc:sabfbvvjdpwhqojpigf3yx3y/app.bsky.feed.post/3lg7sqbtyyja2,did:plc:sabfbvvjdpwhqojpigf3yx3y,"Sounds like Bibi and Trump will level Gaza and redevelop it as a vacation resort thanks to all those Jill Stein protest votes! Well done, America!

Fucking idiots.

RE: https://www.threads.net/@meidastouch/post/DFEbkDLSp3I",0,0,0
at://did:plc:qs2qjwccp7qihwec5ahpobfg/app.bsky.feed.post/3lg7rumqwy22r,did:plc:qs2qjwccp7qihwec5ahpobfg,"Sounds like Bibi and Trump will level Gaza and redevelop it as a vacation resort thanks to all those Jill Stein protest votes! Well done, America!

Fucking idiots.",1,3,8
at://did:plc:rrdcmhbubugqgulal4ztqz7y/app.bsky.feed.post/3lg7rsfu3hk2q,did:plc:rrdcmhbubugqgulal4ztqz7y,Those who voted for Jill Stein as well.,0,0,0
at://did:plc:btgqn233cmyxkqregkhvf3y3/app.bsky.feed.post/3lg7rpnb2r22z,did:plc:btgqn233cmyxkqregkhvf3y3,And what does Jill Stein have to say about this??,0,0,1
at://did:plc:4soba56zn2ljydmxwnqh2ocy/app.bsky.feed.post/3lg7rnb45cs2d,did:plc:4soba56zn2ljydmxwnqh2ocy,"I wonder what the Arab Americans and Palestinian protestors that voted for Trump or Jill Stein think about this. Enjoy, because this is just the beginning.",0,0,2
at://did:plc:ce5vuoyp3ncfmyocbln7nnca/app.bsky.feed.post/3lg7rl3gwfb2l,did:plc:ce5vuoyp3ncfmyocbln7nnca,"Today of all days I’m asking myself, where’s Andre Yang and all of that No Label/Forward Party mambo jambo “…these people only appear during election cycle. Jill Stein move back to Moscow already ?",0,0,1
at://did:plc:7orq6qr3rv3azfb2hei3arwy/app.bsky.feed.post/3lg7rij526c2v,did:plc:7orq6qr3rv3azfb2hei3arwy,Yall Jill Stein voters really fucking suck.,0,0,1
at://did:plc:tghiviy5ggwmskuy427dbvwy/app.bsky.feed.post/3lg7r7hg67c2a,did:plc:tghiviy5ggwmskuy427dbvwy,I didn't vote for Jill Stein Annie...you can't do anything to distract from you supporting Genocide and losing your Democracy,1,0,0
at://did:plc:4nfy6byrst5cv6xvaun5kov7/app.bsky.feed.post/3lg7r4kuqlc2s,did:plc:4nfy6byrst5cv6xvaun5kov7,You just can’t do anything but try to distract from your vote for Jill Fucking Stein.,2,0,2
at://did:plc:cslwlpn3ay26ht2v64nzuyaj/app.bsky.feed.post/3lg7r2yieus2c,did:plc:cslwlpn3ay26ht2v64nzuyaj,"Yes, let's see Jill Stein stand up against Trump's real estate development of Gaza, just as soon as they get rid of the Palestinians.",0,1,13
at://did:plc:lnwubo43czcmve5stlpgty3g/app.bsky.feed.post/3lg7qy7mg222t,did:plc:lnwubo43czcmve5stlpgty3g,"Matter of fact, where tf is Jill Stein?",0,0,0
